"geometry","goal","count","reference_profile","reference_value_kind","reference_count_numerator","reference_count_denominator","lower_anchor_count","upper_anchor_count","lower_anchor_material","upper_anchor_material","interpolated_reference_numerator","interpolated_reference_denominator","reference_clear_budget","target_clear_budget","formation_contribution_numerator","formation_contribution_denominator","raw_material_numerator","raw_material_denominator","authored_correction","player_chessmen_before_cap","example_final_d1_r0_no_cap"
"10x10","Capture Any 2","2","grand10","series-curve","2","1","2","2","1650","1650","1650","1","6050","8050","6000","11","24150","11","0","1","2196"
"10x10","Capture Any 3","3","grand10","series-curve","8","3","2","3","1650","2450","6550","3","6050","8050","262000","363","1054550","363","0","2","2906"
"10x10","Capture Any 4","4","grand10","series-curve","10","3","3","4","2450","3240","8140","3","6050","8050","29600","33","119140","33","0","3","3611"
"10x10","Capture Any 5","5","grand10","series-curve","4","1","4","4","3240","3240","3240","1","6050","8050","129600","121","521640","121","0","4","4312"
"10x10","Capture Any 6","6","grand10","series-curve","14","3","4","5","3240","3500","10240","3","6050","8050","409600","363","1648640","363","0","5","4542"
"10x10","Capture Any 7","7","grand10","series-curve","16","3","5","6","3500","3700","10700","3","6050","8050","428000","363","1722700","363","0","6","4746"
"10x10","Capture Any 8","8","grand10","series-curve","6","1","6","6","3700","3700","3700","1","6050","8050","148000","121","595700","121","0","7","4924"
"10x10","Capture Any 9","9","grand10","series-curve","20","3","6","7","3700","3850","3800","1","6050","8050","152000","121","611800","121","0","8","5057"
"10x10","Capture Any 10","10","grand10","series-curve","22","3","7","8","3850","4000","3900","1","6050","8050","156000","121","627900","121","0","9","5190"
"10x10","Capture Any 11","11","grand10","series-curve","8","1","8","8","4000","4000","4000","1","6050","8050","160000","121","644000","121","0","10","5323"
"10x10","Capture Any 12","12","grand10","series-curve","26","3","8","9","4000","4150","4100","1","6050","8050","164000","121","660100","121","0","11","5456"
"10x10","Capture Any 13","13","grand10","series-curve","28","3","9","10","4150","4350","12650","3","6050","8050","46000","33","185150","33","0","12","5611"
"10x10","Capture Any 14","14","grand10","series-curve","10","1","10","10","4350","4350","4350","1","6050","8050","174000","121","700350","121","0","13","5789"
"10x10","Capture Any 15","15","grand10","series-curve","32","3","10","11","4350","4650","4550","1","6050","8050","182000","121","732550","121","0","14","6055"
"10x10","Capture Any 16","16","grand10","series-curve","34","3","11","12","4650","5000","14300","3","6050","8050","52000","33","209300","33","0","15","6343"
"10x10","Capture Any 17","17","grand10","series-curve","12","1","12","12","5000","5000","5000","1","6050","8050","200000","121","805000","121","0","16","6653"
"10x10","Capture Any 18","18","grand10","series-curve","38","3","12","13","5000","5350","15700","3","6050","8050","628000","363","2527700","363","0","17","6964"
"10x10","Capture Any 19","19","grand10","series-curve","40","3","13","14","5350","5600","16300","3","6050","8050","652000","363","2624300","363","0","18","7230"
"10x10","Capture Any 20","20","grand10","series-curve","14","1","14","14","5600","5600","5600","1","6050","8050","224000","121","901600","121","0","19","7452"
"10x10","Capture Any 21","21","grand10","series-curve","44","3","14","15","5600","5750","5700","1","6050","8050","228000","121","917700","121","0","20","7585"
"10x10","Capture Any 22","22","grand10","series-curve","46","3","15","16","5750","5850","17350","3","6050","8050","694000","363","2793350","363","0","21","7696"
"10x10","Capture Any 23","23","grand10","series-curve","16","1","16","16","5850","5850","5850","1","6050","8050","234000","121","941850","121","0","22","7784"
"10x10","Capture Any 24","24","grand10","series-curve","50","3","16","17","5850","5950","17750","3","6050","8050","710000","363","2857750","363","0","23","7873"
"10x10","Capture Any 25","25","grand10","series-curve","52","3","17","18","5950","6000","17900","3","6050","8050","716000","363","2881900","363","0","24","7940"
"10x10","Capture Any 26","26","grand10","series-curve","18","1","18","18","6000","6000","6000","1","6050","8050","240000","121","966000","121","0","25","7984"
"10x10","Capture Any 27","27","grand10","clear-budget-boundary","19","1","19","19","6050","6050","6050","1","6050","8050","2000","1","8050","1","0","26","8050"
"12x10","Capture 2 Pawns","2","grand10","series-curve","2","1","2","2","1650","1650","1650","1","6050","11250","15600","11","33750","11","0","1","3069"
"12x10","Capture 3 Pawns","3","grand10","series-curve","8","3","2","3","1650","2450","6550","3","6050","11250","681200","363","491250","121","0","2","4060"
"12x10","Capture 4 Pawns","4","grand10","series-curve","10","3","3","4","2450","3240","8140","3","6050","11250","76960","33","55500","11","0","3","5046"
"12x10","Capture 5 Pawns","5","grand10","series-curve","4","1","4","4","3240","3240","3240","1","6050","11250","336960","121","729000","121","0","4","6025"
"12x10","Capture 6 Pawns","6","grand10","series-curve","14","3","4","5","3240","3620","10480","3","6050","11250","1089920","363","786000","121","0","5","6496"
"12x10","Capture 7 Pawns","7","grand10","series-curve","16","3","5","6","3620","3975","11215","3","6050","11250","1166360","363","841125","121","0","6","6952"
"12x10","Capture 8 Pawns","8","grand10","series-curve","6","1","6","6","3975","3975","3975","1","6050","11250","413400","121","894375","121","0","7","7392"
"12x10","Capture 9 Pawns","9","grand10","series-curve","20","3","6","7","3975","4255","12485","3","6050","11250","118040","33","85125","11","0","8","7739"
"12x10","Capture 10 Pawns","10","grand10","series-curve","22","3","7","8","4255","4545","13055","3","6050","11250","1357720","363","979125","121","0","9","8092"
"12x10","Capture 11 Pawns","11","grand10","series-curve","8","1","8","8","4545","4545","4545","1","6050","11250","472680","121","1022625","121","0","10","8452"
"12x10","Capture 12 Pawns","12","grand10","series-curve","26","3","8","9","4545","4645","13835","3","6050","11250","1438840","363","1037625","121","0","11","8576"
"12x10","Capture 13 Pawns","13","grand10","series-curve","28","3","9","10","4645","5245","4845","1","6050","11250","503880","121","1090125","121","0","12","9010"
"12x10","Capture 14 Pawns","14","grand10","series-curve","10","1","10","10","5245","5245","5245","1","6050","11250","545480","121","1180125","121","0","13","9754"
"12x10","Capture 2 Pieces","2","grand10","series-curve","2","1","2","2","3000","3000","3000","1","6050","11250","312000","121","675000","121","0","1","5579"
"12x10","Capture 3 Pieces","3","grand10","series-curve","41","17","2","3","3000","3400","53800","17","6050","11250","5595200","2057","12105000","2057","0","2","5885"
"12x10","Capture 4 Pieces","4","grand10","series-curve","48","17","2","3","3000","3400","56600","17","6050","11250","5886400","2057","12735000","2057","0","3","6192"
"12x10","Capture 5 Pieces","5","grand10","series-curve","55","17","3","4","3400","3750","59200","17","6050","11250","6156800","2057","13320000","2057","0","4","6476"
"12x10","Capture 6 Pieces","6","grand10","series-curve","62","17","3","4","3400","3750","61650","17","6050","11250","6411600","2057","13871250","2057","0","5","6744"
"12x10","Capture 7 Pieces","7","grand10","series-curve","69","17","4","5","3750","4150","64150","17","6050","11250","6671600","2057","14433750","2057","0","6","7017"
"12x10","Capture 8 Pieces","8","grand10","series-curve","76","17","4","5","3750","4150","66950","17","6050","11250","6962800","2057","15063750","2057","0","7","7324"
"12x10","Capture 9 Pieces","9","grand10","series-curve","83","17","4","5","3750","4150","69750","17","6050","11250","7254000","2057","15693750","2057","0","8","7630"
"12x10","Capture 10 Pieces","10","grand10","series-curve","90","17","5","6","4150","4500","72300","17","6050","11250","7519200","2057","16267500","2057","0","9","7909"
"12x10","Capture 11 Pieces","11","grand10","series-curve","97","17","5","6","4150","4500","74750","17","6050","11250","7774000","2057","16818750","2057","0","10","8177"
"12x10","Capture 12 Pieces","12","grand10","series-curve","104","17","6","7","4500","4900","77300","17","6050","11250","8039200","2057","17392500","2057","0","11","8456"
"12x10","Capture 13 Pieces","13","grand10","series-curve","111","17","6","7","4500","4900","80100","17","6050","11250","8330400","2057","18022500","2057","0","12","8762"
"12x10","Capture 14 Pieces","14","grand10","series-curve","118","17","6","7","4500","4900","82900","17","6050","11250","8621600","2057","18652500","2057","0","13","9068"
"12x10","Capture 15 Pieces","15","grand10","series-curve","125","17","7","8","4900","5200","85100","17","6050","11250","8850400","2057","19147500","2057","0","14","9309"
"12x10","Capture 16 Pieces","16","grand10","series-curve","132","17","7","8","4900","5200","87200","17","6050","11250","9068800","2057","19620000","2057","0","15","9539"
"12x10","Capture 17 Pieces","17","grand10","series-curve","139","17","8","9","5200","5400","89000","17","6050","11250","9256000","2057","20025000","2057","0","16","9736"
"12x10","Capture 18 Pieces","18","grand10","series-curve","146","17","8","9","5200","5400","90400","17","6050","11250","9401600","2057","20340000","2057","0","17","9889"
"12x10","Capture 19 Pieces","19","grand10","series-curve","9","1","9","9","5400","5400","5400","1","6050","11250","561600","121","1215000","121","0","18","10042"
"12x10","Capture 2 Of Each","2","grand10","series-curve","2","1","2","2","4150","4150","4150","1","6050","11250","431600","121","933750","121","0","3","7717"
"12x10","Capture 3 Of Each","3","grand10","series-curve","31","12","2","3","4150","4550","13150","3","6050","11250","1367600","363","986250","121","0","5","8151"
"12x10","Capture 4 Of Each","4","grand10","series-curve","19","6","3","4","4550","4900","13825","3","6050","11250","1437800","363","1036875","121","0","7","8570"
"12x10","Capture 5 Of Each","5","grand10","series-curve","15","4","3","4","4550","4900","9625","2","6050","11250","45500","11","196875","22","0","9","8949"
"12x10","Capture 6 Of Each","6","grand10","series-curve","13","3","4","5","4900","5200","5000","1","6050","11250","520000","121","1125000","121","0","11","9298"
"12x10","Capture 7 Of Each","7","grand10","series-curve","59","12","4","5","4900","5200","5175","1","6050","11250","538200","121","1164375","121","0","13","9623"
"12x10","Capture 8 Of Each","8","grand10","series-curve","11","2","5","6","5200","5450","5325","1","6050","11250","553800","121","1198125","121","0","15","9902"
"12x10","Capture 9 Of Each","9","grand10","series-curve","73","12","6","7","5450","5650","16400","3","6050","11250","1705600","363","1230000","121","0","17","10166"
"12x10","Capture 10 Of Each","10","grand10","series-curve","20","3","6","7","5450","5650","16750","3","6050","11250","1742000","363","1256250","121","0","19","10383"
"12x10","Capture 11 Of Each","11","grand10","series-curve","29","4","7","8","5650","5850","5700","1","6050","11250","592800","121","1282500","121","0","21","10600"
"12x10","Capture 12 Of Each","12","grand10","series-curve","47","6","7","8","5650","5850","17450","3","6050","11250","1814800","363","1308750","121","0","23","10817"
"12x10","Capture 13 Of Each","13","grand10","series-curve","101","12","8","9","5850","5950","17675","3","6050","11250","1838200","363","1325625","121","0","25","10956"
"12x10","Capture 14 Of Each","14","grand10","series-curve","9","1","9","9","5950","5950","5950","1","6050","11250","618800","121","1338750","121","0","27","11065"
"12x10","Capture Any 2","2","grand10","series-curve","2","1","2","2","1650","1650","1650","1","6050","11250","15600","11","33750","11","0","1","3069"
"12x10","Capture Any 3","3","grand10","series-curve","38","15","2","3","1650","2450","6230","3","6050","11250","647920","363","467250","121","0","2","3862"
"12x10","Capture Any 4","4","grand10","series-curve","46","15","3","4","2450","3240","7508","3","6050","11250","780832","363","563100","121","0","3","4654"
"12x10","Capture Any 5","5","grand10","series-curve","18","5","3","4","2450","3240","2924","1","6050","11250","304096","121","657900","121","0","4","5438"
"12x10","Capture Any 6","6","grand10","series-curve","62","15","4","5","3240","3500","9824","3","6050","11250","1021696","363","736800","121","0","5","6090"
"12x10","Capture Any 7","7","grand10","series-curve","14","3","4","5","3240","3500","10240","3","6050","11250","1064960","363","768000","121","0","6","6348"
"12x10","Capture Any 8","8","grand10","series-curve","26","5","5","6","3500","3700","3540","1","6050","11250","368160","121","796500","121","0","7","6583"
"12x10","Capture Any 9","9","grand10","series-curve","86","15","5","6","3500","3700","10940","3","6050","11250","1137760","363","820500","121","0","8","6781"
"12x10","Capture Any 10","10","grand10","series-curve","94","15","6","7","3700","3850","3740","1","6050","11250","35360","11","76500","11","0","9","6955"
"12x10","Capture Any 11","11","grand10","series-curve","34","5","6","7","3700","3850","3820","1","6050","11250","397280","121","859500","121","0","10","7104"
"12x10","Capture Any 12","12","grand10","series-curve","22","3","7","8","3850","4000","3900","1","6050","11250","405600","121","877500","121","0","11","7253"
"12x10","Capture Any 13","13","grand10","series-curve","118","15","7","8","3850","4000","3980","1","6050","11250","413920","121","895500","121","0","12","7401"
"12x10","Capture Any 14","14","grand10","series-curve","42","5","8","9","4000","4150","4060","1","6050","11250","422240","121","913500","121","0","13","7550"
"12x10","Capture Any 15","15","grand10","series-curve","134","15","8","9","4000","4150","4140","1","6050","11250","430560","121","931500","121","0","14","7699"
"12x10","Capture Any 16","16","grand10","series-curve","142","15","9","10","4150","4350","12730","3","6050","11250","1323920","363","954750","121","0","15","7891"
"12x10","Capture Any 17","17","grand10","series-curve","10","1","10","10","4350","4350","4350","1","6050","11250","452400","121","978750","121","0","16","8089"
"12x10","Capture Any 18","18","grand10","series-curve","158","15","10","11","4350","4650","4510","1","6050","11250","42640","11","92250","11","0","17","8387"
"12x10","Capture Any 19","19","grand10","series-curve","166","15","11","12","4650","5000","14020","3","6050","11250","1458080","363","1051500","121","0","18","8691"
"12x10","Capture Any 20","20","grand10","series-curve","58","5","11","12","4650","5000","4860","1","6050","11250","505440","121","1093500","121","0","19","9038"
"12x10","Capture Any 21","21","grand10","series-curve","182","15","12","13","5000","5350","15140","3","6050","11250","1574560","363","1135500","121","0","20","9385"
"12x10","Capture Any 22","22","grand10","series-curve","38","3","12","13","5000","5350","15700","3","6050","11250","1632800","363","1177500","121","0","21","9732"
"12x10","Capture Any 23","23","grand10","series-curve","66","5","13","14","5350","5600","5400","1","6050","11250","561600","121","1215000","121","0","22","10042"
"12x10","Capture Any 24","24","grand10","series-curve","206","15","13","14","5350","5600","16600","3","6050","11250","1726400","363","1245000","121","0","23","10290"
"12x10","Capture Any 25","25","grand10","series-curve","214","15","14","15","5600","5750","5640","1","6050","11250","586560","121","1269000","121","0","24","10488"
"12x10","Capture Any 26","26","grand10","series-curve","74","5","14","15","5600","5750","5720","1","6050","11250","54080","11","117000","11","0","25","10637"
"12x10","Capture Any 27","27","grand10","series-curve","46","3","15","16","5750","5850","17350","3","6050","11250","1804400","363","1301250","121","0","26","10755"
"12x10","Capture Any 28","28","grand10","series-curve","238","15","15","16","5750","5850","17510","3","6050","11250","1821040","363","1313250","121","0","27","10854"
"12x10","Capture Any 29","29","grand10","series-curve","82","5","16","17","5850","5950","5890","1","6050","11250","612560","121","1325250","121","0","28","10953"
"12x10","Capture Any 30","30","grand10","series-curve","254","15","16","17","5850","5950","17830","3","6050","11250","1854320","363","1337250","121","0","29","11052"
"12x10","Capture Any 31","31","grand10","series-curve","262","15","17","18","5950","6000","17920","3","6050","11250","1863680","363","1344000","121","0","30","11108"
"12x10","Capture Any 32","32","grand10","series-curve","18","1","18","18","6000","6000","6000","1","6050","11250","624000","121","1350000","121","0","31","11158"
